DEPOSITOR,DEPOSIT_ID,DEPOSIT_STATE,DOI,DEPOSIT_CREATION_TIMESTAMP,DEPOSIT_UPDATE_TIMESTAMP,DESCRIPTION
mendeleydata,b480019f-e6ce-423b-b1e9-c43bf13d9c7e,ARCHIVED,10.17632/rs5jhktkdk.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74990
mendeleydata,b653212c-d57a-4de0-9963-e6d697758340,ARCHIVED,10.17632/r7t3jt9sxk.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74884
mendeleydata,b78e8120-8fe8-489a-8366-a11049f84c1f,ARCHIVED,10.17632/fytt4d4fkv.1,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74895
mendeleydata,b7e744f9-da65-43f4-bb5f-1a0cf90bfaf8,ARCHIVED,10.17632/wk5639d3xy.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74913
mendeleydata,b85d047a-2526-4412-8d56-c4ca969e9a6a,ARCHIVED,10.17632/sbbb82fg65.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74959
mendeleydata,b978d2bf-a5d0-4d4e-8586-4e866ffe991e,ARCHIVED,10.17632/r7t3jt9sxk.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74882
mendeleydata,b98ef961-186b-4e1d-b661-4309043b1669,ARCHIVED,10.17632/rm9n72x2rz.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74950
mendeleydata,b9a1542e-04d5-403c-ae62-f4b1fdbbdc88,ARCHIVED,10.17632/4jhkzyvxgj.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74944
mendeleydata,ba840412-9c19-4fd5-9894-3d1ebbf1746c,ARCHIVED,10.17632/jtyrxby8gd.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74872
mendeleydata,baa29b30-8361-49ff-8565-76997d7bfe91,ARCHIVED,10.17632/sfxr4c6c6g.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74928
mendeleydata,bd3bcab5-99c7-440c-a7fb-bba96fe2fcf4,ARCHIVED,10.17632/zmjvt32gj3.3,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74948
mendeleydata,be8b3eea-12f4-4a5a-997c-fc49381d781f,ARCHIVED,10.17632/yf3c2xrs8h.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74915
mendeleydata,c6e3d1c9-ecf0-4e4e-8fdc-078721bcc66c,ARCHIVED,10.17632/4jhkzyvxgj.3,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74947
mendeleydata,c90f396e-ab1a-416a-a00f-9a3c8e6d9a61,ARCHIVED,10.17632/nxb2ybyj4x.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74900
